text,labels
A strong earthquake under the ocean off Indonesia 's Sumatra and Nias islands has caused some panic but no damage or injuries .,O O O O O O O B-org I-org I-org I-org I-org I-org O O O O O O O O O O
"The U.S. Geological Survey gave a preliminary estimate of the strength of the Tuesday morning quake at 6.7 on the Richter scale , and said the epicenter was close to the island of Nias .",O B-org I-org I-org O O O O O O O O O B-tim I-tim O O O O O B-geo O O O O O O O O O O O O B-org O
Prime Minister Geir Haarde has refused to resign or call for early elections .,O O B-per I-per O O O O O O O O O O
The quake did not cause a tsunami .,O O O O O O O O
An earthquake in late March killed more than 900 people on Nias .,O O O O B-tim O O O O O O B-org O
Both Sumatra and Nias have experienced countless earthquakes since a massive tsunami-producing quake on December 26 .,O B-org O B-org O O O O O O O O O O B-tim I-tim O
"The latest official death toll from that tragedy stands at some 1,76,000 people killed - 1,28,000 of them in Indonesia .",O O O O O O O O O O O O O O O O O O O B-geo O
"Nearly 50,000 people are still listed as missing , but most of them are feared dead .",O O O O O O O O O O O O O O O O O
The U.S. rap star Snoop Dogg and five of his associates have been arrested in Britain after a disturbance at London 's Heathrow Airport .,O B-geo O O B-per I-per O O O O O O O O O B-geo O O O O B-geo O B-geo I-geo O
"Police told British media that the musician , who was born with the name Calvin Broadus , and members of his entourage were being held on charges of "" violent disorder and affray . """,O O B-gpe O O O O O O O O O O O B-per I-per O O O O O O O O O O O O O O O O O O O
"The group was waiting for a flight to South Africa , where Snoop Dogg was to perform in a concert Thursday , when it was denied access to a first-class lounge at the airport .",O O O O O O O O B-geo I-geo O O B-per I-per O O O O O O B-tim O O O O O O O O O O O O O O
Police said members of the group later threw bottles of whisky in a duty-free store and scuffled with police .,O O O O O O O O O O O O O O O O O O O O
"Snoop Dogg is a former member of a street gang the Crips , from Southern California , and many of his songs reflect the gritty life on the streets .",B-per I-per O O O O O O O O O B-org O O B-geo I-geo O O O O O O O O O O O O O O
He blames Iceland 's economic calamity on commercial bankers .,O O B-org O O O O O O O
"Afghan President Hamid Karzai says he has fired two "" high-ranking "" Afghan officials who were spying for other countries , and warns he would not spare anyone who engages in such activity .",B-gpe B-per I-per I-per O O O O O O O O B-gpe O O O O O O O O O O O O O O O O O O O O O
"Mr. Karzai made the disclosure at a lunch meeting with newly sworn-in parliament members , and did not name the dismissed officials nor indicate when he took the action He also did not name the other countries involved .",B-per I-per O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Mr. Karzai said he had strong evidence against the two officials .,B-per I-per O O O O O O O O O O
"But he said even if he had minor evidence , he would have punished them .",O O O O O O O O O O O O O O O O
"He said anyone found spying for foreign countries will be shown on television , and put on trial .",O O O O O O O O O O O O O O O O O O O
Mr. Karzai has led Afghanistan since the Taleban were ousted in late 2001 .,B-per I-per O O B-gpe O O B-org O O O O B-tim O
He won a presidential election in October 2004 .,O O O O O O B-tim I-tim O
And now the Taleban are waging an insurgency against his administration .,O O O B-org O O O O O O O O
For the last four weeks a team led by former UN Secretary-General Kofi Annan has been trying to broker a deal between the Kenyan government of President Mwai Kibaki and the opposition led by Raila Odinga .,O O O B-tim O O O O O O B-org I-org B-per I-per O O O O O O O O O B-gpe O O B-per I-per I-per O O O O O B-org I-org O
The negotiations have concentrated on a power sharing agreement and a transitional arrangement leading to new elections .,O O O O O O O O O O O O O O O O O O
The government was forced to ask the International Monetary Fund and several countries for a multi-billion-dollar loan .,O O O O O O O B-org I-org I-org O O O O O O O O
A recent report by the international crisis group says three complimentary sets of issues must be addressed to finalize a detailed power sharing agreement .,O O O O O O O O O O O O O O O O O O O O O O O O O
Francois Grignon is director of the Africa program of the ICG .,B-per I-per O O O O B-geo O O O B-org O
"In a telephone interview to discuss the issues at stake , he told VOA reporter Akwei Thompson the opposition would demonstrate a stronger political will to tackle the task of legal and constitutional reform needed during the transition period because the electoral dispute left them out , the losers . ",O O O O O O O O O O O O O B-org O B-per I-per O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"President Bush has signed legislation that will require screening of all air and sea cargo , and will provide more money to cities deemed to be at high risk of a terrorist attack .",B-per I-per O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"After signing the bill Friday and meeting with his advisers on counter-terrorism , Mr. Bush said his homeland security and counter-terrorism teams are doing everything they can to protect the country from what he called a "" dangerous enemy . """,O O O O B-tim O O O O O O O O B-per I-per O O O O O O O O O O O O O O O O O O O O O O O O O O
"The new measures carry out some recommendations made by the independent commission that investigated the September 11 , 2001 attacks on the United States .",O O O O O O O O O O O O O O O B-tim I-tim I-tim I-tim O O O B-geo I-geo O
Those include a grant of $ 4 billion to be given to high-risk cities to upgrade transit security .,O O O O O O O O O O O O O O O O O O O
They also mandate screening of all U.S.-bound cargo on planes and ships within the next five years .,O O O O O O O O O O O O O O O B-tim O O
Burmese democracy advocate Aung San Suu Kyi is calling on citizens in her country to work toward national reconciliation in the new year .,B-gpe O O O B-geo I-geo I-geo O O O O O O O O O O O O O O B-tim O O
"In a statement Friday , she asked the Burmese people to "" struggle together with new strengths , new force and new words "" in 2011 .",O O O B-tim O O O O B-gpe O O O O O O O O O O O O O O O O B-tim O
"Global health experts said cancer will become the leading cause of death in the world by 2010 , overtaking heart disease .",O O O O O O O O O O O O O O O O B-tim O O O O O
The 65-year-old advocate for democratic reforms in Burma was released after more than seven years of house arrest on November 13 .,O O O O O O O B-geo O O O O O O O O O O O B-tim I-tim O
That was just days after the country 's military rulers claimed an overwhelming victory in Burma 's widely criticized first election in two decades .,O O O O O O O O O O O O O O O B-geo O O O O O O B-tim I-tim O
She said in the statement that Burmese people need to establish political and social networks to achieve " national reconciliation as well as a truly united spirit . ",O O O O O O B-gpe O O O O O O O O O O O O O O O O O O O O O O
"The United States on Thursday again called for Burma 's leaders to free the more than 2,200 political prisoners in the country and engage in talks to promote democracy .",O B-geo I-geo O B-tim O O O B-geo O O O O O O O O O O O O O O O O O O O O O
"Former U.S. President Bill Clinton has assembled world leaders , activists and academics in New York to address the issues of poverty , global warning and conflict .",O B-org B-per I-per I-per O O O O O O O O O B-geo I-geo O O O O O O O O O O O O
"Opening Thursday , the Clinton Global Initiative 's conference coincides with the Millennium summit of the United Nations General Assembly .",O B-tim O O B-per O O O O O O O B-org O O O B-org I-org I-org I-org O
"Mr. Clinton says the focus of the three-day conference is to secure concrete pledges from leaders to address significant problems , not to simply talk about them .",B-per I-per O O O O O B-tim O O O O O O O O O O O O O O O O O O O O
Organizers say the conference is different from other forums because participants are required to pledge to address issues in concrete ways and to report back on their progress .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Expected attendees or speakers include British Prime Minister Tony Blair , U.N. Secretary General Kofi Annan and Israel 's Deputy Prime Minister Shimon Peres .",O O O O O B-gpe B-per I-per I-per I-per O B-org B-per B-org B-per I-per O B-geo O O B-per I-per I-per I-per O
Peruvian election officials say the narrow gap between two candidates vying for the second spot on the ballot for the country 's run-off presidential election has tightened further .,B-gpe O O O O O O O O O O O O O O O O O O O O O O O O O O O O
A World Health Organization report issued Tuesday said one factor behind cancer 's growing deadliness is rising cigarette smoking in developing countries .,O O O O O O B-tim O O O O O O O O O O O O O O O O
"Officials said Sunday former center-left president Alan Garcia leads pro-business congresswoman Lourdes Flores by less than 96,000 votes , with nearly 90 percent of the votes counted .",O O B-tim O O O B-per I-per O O O B-per I-per O O O O O O O O O O O O O O O
"Garcia led Flores by nearly 1,10,000 votes on Saturday .",B-per O B-per O O O O O B-tim O
The surge by Flores is attributed to heavy support among Peruvians living abroad whose votes are apparently starting to impact the election tally .,O O O B-per O O O O O O B-gpe O O O O O O O O O O O O O
"Since no candidate received half of the vote in the April 9 election , a presidential run-off will be held 30 days after the final results are announced .",O O O O O O O O O O B-tim I-tim I-tim O O O O O O O B-tim O O O O O O O O
"Either Garcia or Flores will take on nationalist Ollanta Humala , who took 31 percent of the vote .",O B-per O B-per O O O O B-per I-per O O O O O O O O O
"Chilean authorities have freed on bail the wife and four adult children of former dictator Augusto Pinochet , a day after they were detained on tax evasion charges .",B-gpe O O O O O O O O O O O O O O B-per I-per O O O O O O O O O O O O
Lucia Hiriart and her children were arrested Monday as part of an investigation into millions of dollars kept in bank accounts abroad .,B-per I-per O O O O O B-tim O O O O O O O O O O O O O O O
"A fifth child , daughter Lucia , is also charged , but her whereabouts are unknown .",O O O O O B-per O O O O O O O O O O O
"If located , she will be prohibited from leaving the country .",O O O O O O O O O O O O
General Pinochet has been indicted for tax fraud for allegedly hiding $ 27 million in foreign bank accounts .,B-per I-per O O O O O O O O O O O O O O O O O
40 percent of the world 's smokers are thought to live in China and India alone .,O O O O O O O O O O O O B-geo O B-geo O O
The former dictator also faces human rights charges related to his rule in the mid-1970s .,O O O O O O O O O O O O O O O O
"His lawyers say he is not healthy enough to stand trial , but court-ordered doctors say he is fit enough to do so .",O O O O O O O O O O O O O O O O O O O O O O O O
Rebel sources in Mexico say a female leader of the Zapatista rebel movement has died .,O O O B-geo O O O O O O B-geo O O O O O
"Zapatista leader Subcomandante Marcos Friday announced the death of Comandante Ramona , saying Mexico had lost a fighter and the Zapatistas had lost a piece of their heart .",B-geo O B-geo I-geo B-tim O O O O B-geo I-geo O O B-geo O O O O O O B-geo O O O O O O O O
"The announcement came during a stop in Chiapas , six days into the leader 's nationwide tour .",O O O O O O O B-geo O O O O O O O O O O
"The nature of Comandante Ramona 's death was not immediately clear , but it was rumored that she had cancer or a kidney disease .",O O O B-geo I-geo O O O O O O O O O O O O O O O O O O O O
She had once received a kidney transplant .,O O O O O O O O
The mysterious female leader was a Tzotzil Indian and a promoter of women 's rights .,O O O O O O B-org B-gpe O O O O O O O O
She was a longtime member of the Zapatista movement and appeared in public wearing a black ski mask .,O O O O O O O B-geo O O O O O O O O O O O
"On January 1 , Subcomandante Marcos emerged from his jungle hideout to begin a six-month nationwide tour in a bid to influence this year 's presidential elections .",O B-tim I-tim O B-geo I-geo O O O O O O O O B-tim O O O O O O O O O O O O O
The WHO report said an estimated 12 million people will be diagnosed with some form of cancer this year .,O B-org O O O O O O O O O O O O O O O O O O
Representatives of the Washington-based Council on American-Islamic Relations have appealed for the release of kidnapped American journalist Jill Carroll .,O O O B-org I-org O B-org I-org O O O O O O O B-gpe O B-per I-per O
"In Baghdad Saturday , an official with the influential Islamic group called on Carroll 's abductors to release her unharmed .",O B-tim I-tim O O O O O O B-geo O O O B-per O O O O O O O
"In an earlier statement , the group said the 28-year-old journalist has a well-documented record of objective reporting and respect for both the Iraqi people and Arab-Islamic culture .",O O O O O O O O O O O O O O O O O O O O O O O B-gpe O O O O O
"There still is no word on the journalist 's fate , following a threat by her kidnappers to execute her Friday unless all eight female detainees in American custody in Iraq were released .",O O O O O O O O O O O O O O O O O O O O B-tim O O O O O O B-gpe O O B-geo O O O
"Meanwhile , a militant group has kidnapped the son of a senior Iraqi Defense Ministry official .",O O O O O O O O O O O O B-gpe B-org I-org O O
"In a videotape shown on al-Arabiya ( Saturday ) , kidnappers threatened to kill the son of Brigadier-General Sabah Abd al-Karim unless Iraqi security forces stop cooperating with U.S.-led coalition troops in Iraq .",O O O O B-art O O B-tim O O O O O O O O O O B-org I-org I-org O B-gpe O O O O O O O O O B-geo O
Leading Muslim groups attending an anti-terrorism conference in northern India have denounced terrorism as " un-Islamic . ",O O O O O O O O O B-geo O O O O O O O O
The declaration was made by thousands of scholars and clerics Monday at the country 's top Islamic seminary - the 150-year-old Darul-Uloom Deoband in Uttar Pradesh .,O O O O O O O O O O B-tim O O O O O O O O O O O O O B-org I-org O
Their statement said any terrorist activity targeting innocent people contradicts Islam 's concept of peace .,O O O O O O O O O O B-per O O O O O
"It described Islam as a religion of mercy , and it condemned all kinds of oppression , violence and terrorism .",O O B-per O O O O O O O O O O O O O O O O O O
The Pakistani military launched its offensive in Orakzai to hunt Taliban insurgents .,O B-gpe O O O O O B-geo O O B-org O O
It predicts that 7.6 million of them will die .,O O O O O O O O O O
"However , the statement also called on the Indian government to ensure that members of the Muslim community are not harassed .",O O O O O O O O B-gpe O O O O O O O O O O O O O
"It said that whenever there is a terrorist attack , attempts are made to link the attack to Muslims who have studied in madrassas or religious schools .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"The declaration also said many innocent Muslims are spending their lives behind bars , having been falsely accused of involvement in acts of terror .",O O O O O O O O O O O O O O O O O O O O O O O O O
Microsoft founder Bill Gates and the government of Norway have pledged more than $ 1 billion for a campaign to vaccinate most of the world 's poorest children .,B-org O B-per I-per O O O O B-geo O O O O O O O O O O O O O O O O O O O O
Donors say they hope the $ 750 million grant from the Bill and Melinda Gates Foundation and a pledge from Norway for $ 290 million spurs other foundations and governments to invest in The Global Alliance for Vaccines and Immunization .,O O O O O O O O O O O B-per O B-per I-per I-per O O O O B-geo O O O O O O O O O O O O O O O O B-org I-org I-org O
The alliance hopes to immunize 90 percent of the world 's children by 2015 .,O O O O O O O O O O O O O B-tim O
The group estimates it will cost $ 8 to $ 12 billion .,O O O O O O O O O O O O O
The World Health Organization estimates two million people die each year from diseases that are easily prevented by basic vaccines .,O B-org I-org I-org O O O O O O O O O O O O O O O O O
"Spain has begun a trial for 24 suspected al-Qaida members , including three accused of helping plan the September 11 , 2001 terrorist attacks in the United States .",B-gpe O O O O O O O B-org O O O O O O O O O B-tim I-tim I-tim I-tim O O O O B-geo I-geo O
"The defendants appeared in a Madrid court Friday , behind bulletproof glass .",O O O O O B-geo O B-tim O O O O O
"Health experts predicted the number of people who die from cancer will soon be greater than deaths from AIDS , tuberculosis and malaria combined .",O O O O O O O O O O O O O O O O O O B-nat O O O O O O
"More than 100 armed police are providing security at a remodeled courtroom , specially-built for trials with multiple defendants .",O O O O O O O O O O O O O O O O O O O O
Among the accused is the suspected leader of the Spanish al-Qaida cell - Syrian-born Imad Eddin Barakat Yarkas .,O O O O O O O O O B-gpe B-org O O O B-org I-org I-org I-org O
He allegedly organized a meeting of terror suspects in Spain during which details of the September 11 attacks were finalized .,O O O O O O O O O B-gpe O O O O O B-tim I-tim O O O O
"Prosecutors are asking that the leader of the group be sentenced to more than 60,000 years in prison if convicted .",O O O O O O O O O O O O O O O O O O O O O
"European Union observers are preparing to monitor Palestinian parliamentary elections in the West Bank and Gaza Strip , despite recent kidnappings of foreigners .",B-org I-org O O O O O B-gpe O O O O B-org I-org I-org I-org I-org O O O O O O O
Chief EU observer Veronique De Keyser says her group is making regular security assessments and taking all necessary precautions .,O B-org O B-org I-org I-org O O O O O O O O O O O O O O
"She says the EU 's commitment must be met , adding that it would a "" bad sign "" not to send monitors to Gaza , where several foreign aid workers were kidnapped and released unharmed in recent weeks .",O O O B-org O O O O O O O O O O O O O O O O O O O O B-geo O O O O O O O O O O O O O O O
Ms. De Keyser spoke to reporters in Jerusalem Monday as more than 30 EU observers headed to Palestinian cities and towns .,B-per B-org I-org O O O O B-geo B-tim O O O O B-org O O O B-gpe O O O O
Campaigning for the January 25 elections begins Tuesday .,O O O B-tim I-tim O O B-tim O
"But several senior Palestinian leaders are calling for a delay in the vote , citing dire law-and-order conditions and Israel 's refusal to permit voting in East Jerusalem .",O O O B-gpe O O O O O O O O B-tim O O O O O O B-geo O O O O O O B-geo I-geo O
"The WHO said the number of new cancer patients may rise to 27 million a year by 2030 , with 17 million people dying from the disease .",O B-org O O O O O O O O O O O O O O O B-tim O O O O O O O O O O
An international delegation that monitored the elections in Liberia is calling on all concerned to act responsibly to ensure the post-war peace process stays on track .,O O O O O O O O B-geo O O O O O O O O O O O O O O O O O O
"The delegation , led by former U.S. President Jimmy Carter and former Benin President Nicephore Soglo , also urged the international community to continue its assistance .",O O O O O O B-geo B-per I-per I-per O O O B-per I-per I-per O O O O O O O O O O O
It added that extensive voter education will be needed if a runoff election is required .,O O O O O O O O O O O O O O O O
The delegation said a major problem in Tuesday 's poll was widespread lack of voter understanding of the process of casting ballots .,O O O O O O O B-tim O O O O O O O O O O O O O O O
It also cited voter ignorance of the nature of choice among the candidates .,O O O O O O O O O O O O O O
"The joint delegation from the former U.S. president 's Carter Center and the National Democratic Institute includes representatives from 14 nations in Africa , Europe and North America .",O O O O O O B-geo O O B-org I-org O O B-org I-org I-org O O O O O O B-geo O B-geo O B-geo I-geo O
Afghan President Hamid Karzai has again called for reconciliation talks with Taleban militants .,B-gpe B-per I-per I-per O O O O O O O B-org O O
"In remarks to people gathered at the main Shi'ite mosque in Kabul Monday , Mr. Karzai referred to what he called "" the enemy who wants our destruction and sheds our blood . """,O O O O O O O O O O O B-geo B-tim O B-per I-per O O O O O O O O O O O O O O O O O O
He did not refer to the Taleban by name .,O O O O O O B-org O O O
"The Afghan leader has made similar offers of talks before , but Taleban leaders have rebuffed them .",O B-gpe O O O O O O O O O O B-org O O O O O
A civil liberties group says it has obtained documents that allegedly show U.S. military forces tried to suppress reports about the abuse of Iraqi prisoners .,O O O O O O O O O O O O B-org O O O O O O O O O O B-org O O
"Last year saw a dramatic increase in Taleban militant attacks against U.S. , NATO and Afghan forces in Afghanistan .",O O O O O O O B-org O O O B-geo O B-org O B-gpe O O B-geo O
At least four thousand people were killed in insurgency-related violence .,O O O O O O O O O O O
"U.S. and NATO military leaders in the country are warning of a new Taleban offensive in the coming months , as the snows thaw and mountain roads become more accessible .",B-org O B-org O O O O O O O O O O B-org O O O O O O O O O O O O O O O O O
French police detained nine people Monday in the Paris region and nearby Normandy in a crackdown on a group suspected of planning terror attacks in France .,B-gpe O O O O B-tim O O B-geo O O O B-geo O O O O O O O O O O O O B-geo O
"At least seven of the suspects are believed to have links to an Algerian insurgency movement , the Salafist Group for Call and Combat , known as the GSPC , which has declared allegiance to al-Qaida .",O O O O O O O O O O O O O B-gpe O O O O B-org I-org I-org I-org I-org I-org O O O O B-org O O O O O O B-org O
A detainee is escorted to interrogation by US military guards at Camp X-Ray at Guantanamo Bay US Naval Base,O O O O O O O B-org O O O B-geo I-geo O B-geo I-geo I-geo I-geo I-geo
"The Pentagon says seven detainees at the U.S. military prison at Guantanamo Bay , Cuba have been released to their home countries .",O B-org O O O O O B-geo O O O B-geo I-geo O B-geo O O O O O O O O
A statement said Wednesday that three of the detainees were released after a tribunal determined that they were not enemy combatants .,O O O B-tim O O O O O O O O O O O O O O O O O O
"One was sent back to Sudan , another to Saudi Arabia and the third to Jordan .",O O O O O B-geo O O O B-geo I-geo O O O O B-gpe O
Four others cleared under different types of administrative review were released to Saudi Arabia and Afghanistan .,O O O O O O O O O O O O B-geo I-geo O B-geo O
"The documents - released by the American Civil Liberties Union on Tuesday - say staff members of the Pentagon 's Defense Intelligence Agency ( DIA ) witnessed several incidents of abuse , including prisoners being assaulted , deprived of sleep and humiliated .",O O O O O O B-org I-org I-org I-org O B-tim I-tim O O O O O B-org I-org I-org I-org I-org O B-org O O O O O O O O O O O O O O O O O O
"An eighth detainee , a Moroccan , has been transferred to Spain , where he is accused of having links to an al-Qaida cell .",O O O O O B-gpe O O O O O B-geo O O O O O O O O O O B-org O O
Yemen is a low income country that is highly dependent on declining oil resources for revenue .,B-org O O O O O O O O O O O O O O O O
Petroleum accounts for roughly 25 % of GDP and 70 % of government revenue .,O O O O O O O O O O O O O O O
Yemen has tried to counter the effects of its declining oil resources by diversifying its economy through an economic reform program initiated in 2006 that is designed to bolster non-oil sectors of the economy and foreign investment .,B-org O O O O O O O O O O O O O O O O O O O O O O B-tim O O O O O O O O O O O O O O
"In October 2009 , Yemen exported its first liquefied natural gas as part of this diversification effort .",O B-tim I-tim O B-org O O O O O O O O O O O O O
"In January 2010 , the international community established the Friends of Yemen group that aims to support Yemen 's efforts towards economic and political reform , and in August 2010 the IMF approved a three-year $ 370 million program to further this effort .",O B-tim I-tim O O O O O O O O B-org O O O O O B-org O O O O O O O O O O B-tim I-tim O B-org O O O O O O O O O O O O
"Despite these ambitious endeavors , Yemen continues to face difficult long term challenges , including declining water resources and a high population growth rate .",O O O O O B-org O O O O O O O O O O O O O O O O O O O
Singapore was founded as a British trading colony in 1819 .,B-org O O O O B-gpe O O O B-tim O
It joined the Malaysian Federation in 1963 but separated two years later and became independent .,O O O B-gpe B-geo O B-tim O O B-tim O B-tim O O O O
Singapore subsequently became one of the world 's most prosperous countries with strong international trading links ( its port is one of the world 's busiest in terms of tonnage handled ) and with per capita GDP equal to that of the leading nations of Western Europe .,B-org O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo I-geo O
"The documents also included complaints that DIA personnel had their e-mails monitored by special forces , and were ordered "" not to talk to anyone in the U.S. "" about what they witnessed .",O O O O O O B-org O O O O O O O O O O O O O O O O O O O O B-geo I-geo O O O O O
"Ruled by the Al Thani family since the mid-1800s , Qatar transformed itself from a poor British protectorate noted mainly for pearling into an independent state with significant oil and natural gas revenues .",O O O B-org I-org O O O B-tim O B-gpe O O O O O B-gpe O O O O O O O O O O O O O O O O O
"During the late 1980s and early 1990s , the Qatari economy was crippled by a continuous siphoning off of petroleum revenues by the Amir , who had ruled the country since 1972 .",O O O B-tim I-tim O B-tim O O B-geo O O O O O O O O O O O O O O O O O O O O B-tim I-tim O
"His son , the current Amir HAMAD bin Khalifa Al Thani , overthrew him in a bloodless coup in 1995 .",O O O O O O B-per I-per I-per I-per I-per O O O O O O O O B-tim O
"In 2001 , Qatar resolved its longstanding border disputes with both Bahrain and Saudi Arabia .",O B-tim O B-org O O O O O O O B-org O B-org I-org O
"As of 2007 , oil and natural gas revenues had enabled Qatar to attain the second-highest per capita income in the world .",O O B-tim O O O O O O O O B-org O O O O O O O O O O O
"Subsistence agriculture , together with forestry , remains the backbone of the economy of the Central African Republic ( CAR ) , with about 60 % of the population living in outlying areas .",O O O O O O O O O O O O O O O B-geo I-geo I-geo O O O O O O O O O O O O O O O O
The agricultural sector generates more than half of GDP .,O O O O O O O O O O
"Timber has accounted for about 16 % of export earnings and the diamond industry , for 40 % .",O O O O O O O O O O O O O O O O O O O
"Important constraints to economic development include the CAR 's landlocked position , a poor transportation system , a largely unskilled work force , and a legacy of misdirected macroeconomic policies .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Factional fighting between the government and its opponents remains a drag on economic revitalization .,O O O O O O O O O O O O O O O
The ACLU obtained the documents after a federal court ordered the Pentagon to comply with a year-old request under the U.S. Freedom of Information Act .,O B-org O O O O O O O O O B-org O O O O O O O O B-org I-org I-org I-org I-org O
Distribution of income is extraordinarily unequal .,O O O O O O O
Grants from France and the international community can only partially meet humanitarian needs .,O O B-geo O O O O O O O O O O O
"A PEASANT found an Eagle captured in a trap , and much admiring the bird , set him free .",O O O O O O O O O O O O O O O O O O O O
